Designator,Mid X,Mid Y,Rotation,Layer
SW11,-28.302,-26.78125,0.0,bottom
SW12,-28.302,-7.73125,0.0,bottom
SW13,-47.352,-10.1125,0.0,bottom
SW14,-47.352,-29.1625,0.0,bottom
SW15,-47.352,-48.2125,0.0,bottom
SW16,-66.402,-52.975,0.0,bottom
SW17,-66.402,-33.925,0.0,bottom
SW18,-66.402,-14.875,0.0,bottom
SW19,-85.452,-14.875,0.0,bottom
SW2,9.798,-50.59375,0.0,bottom
SW20,-85.452,-33.925,0.0,bottom
SW21,-85.452,-52.975,0.0,bottom
SW3,9.798,-31.54375,0.0,bottom
SW4,9.798,-12.49375,0.0,bottom
SW5,-9.252,-10.1125,0.0,bottom
SW6,-9.252,-29.1625,0.0,bottom
SW7,-9.252,-48.2125,0.0,bottom
SW8,2.037526,-71.820427,11.939999999999998,bottom
SW9,-18.777,-69.64375,0.0,bottom
U1,-17.202,-39.77575,90.0,bottom
U2,21.4655,-56.66875,180.0,bottom
U3,20.523,-16.465,90.0,bottom
U4,-16.1195,-24.4375,0.0,bottom
Y1,-18.981246,-48.462925,0.0,bottom
ZD1,37.3765,-27.36975,90.0,bottom
